Company,Fuel_Type,CC,HP,Speed,Acceleration,Price,Torque,Seats,Price_Log,Torque_Log,CC_Scaled,HP_Scaled,Speed_Scaled,Acceleration_Scaled
MERCEDES,Petrol,1991.0,382.0,250.0,4.3,48000.0,500.0,5.0,10.778977123006351,6.2166061010848646,-0.4261586021402646,0.334844506944367,0.6328166540087526,-0.9908069081590992
MERCEDES,Petrol,1991.0,255.0,250.0,6.1,46000.0,500.0,5.0,10.736418414365376,6.2166061010848646,-0.4261586021402646,-0.23564486986274974,0.6328166540087526,-0.44581227333004075
MERCEDES,Petrol,2996.0,429.0,250.0,5.2,71000.0,620.0,5.0,11.170449240431308,6.431331081933479,0.10207755908364724,0.5459704967863709,0.6328166540087526,-0.7183095907445699
MERCEDES,Petrol,1991.0,255.0,250.0,6.5,90000.0,500.0,5.0,11.407576060361786,6.2166061010848646,-0.4261586021402646,-0.23564486986274974,0.6328166540087526,-0.32470235447913876
MERCEDES,Electric,2851.0,751.0,250.0,3.4,102000.0,950.0,5.0,11.532737896139919,6.85751406254539,0.02586438159363012,1.9924081293209503,0.6328166540087526,-1.2633042255736284
MERCEDES,Petrol,5980.0,630.0,250.0,4.7,200000.0,1000.0,5.0,12.206077645517674,6.90875477931522,1.6704921910161377,1.4488710065362171,0.6328166540087526,-0.8696969893081973
BMW,Petrol,4395.0,627.0,305.0,3.0,142000.0,750.0,5.0,11.863589378812122,6.621405651764134,0.8374033198321573,1.4353948795250253,1.6703454151641004,-1.3844141444245304
BMW,Petrol,2993.0,493.0,305.0,3.7,133000.0,600.0,4.0,11.798111925972618,6.398594934535208,0.10050073472178482,0.8334612063584612,1.6703454151641004,-1.172471786435452
BMW,Petrol,2993.0,503.0,285.0,3.5,76000.0,650.0,5.0,11.23850177707664,6.478509642208569,0.10050073472178482,0.8783816297291004,1.2930622292894285,-1.233026745860903
BMW,Petrol,2993.0,444.0,280.0,4.0,83000.0,550.0,4.0,11.326607934898927,6.311734809152915,0.10050073472178482,0.6133511318423296,1.1987414328207604,-1.0816393472972756
BMW,Petrol,4935.0,523.0,285.0,4.1,114000.0,750.0,5.0,11.643962499267984,6.621405651764134,1.1212317049673934,0.9682224764703786,1.2930622292894285,-1.0513618675845502
